ProductA,ProductB,PairFrequency
"Racing Socks, M","Road-350-W Yellow, 48",238
"ML Road Frame-W - Yellow, 48","Short-Sleeve Classic Jersey, L",71
"Classic Vest, M","LL Mountain Frame - Black, 42",62
"Touring-1000 Yellow, 46","Touring-3000 Blue, 50",196
"HL Touring Frame - Yellow, 60","Touring-1000 Yellow, 54",36
"Long-Sleeve Logo Jersey, L","Mountain-500 Silver, 40",70
HL Mountain Handlebars,"ML Mountain Frame-W - Silver, 46",55
Bike Wash - Dissolver,"Short-Sleeve Classic Jersey, S",274
AWC Logo Cap,"ML Mountain Frame-W - Silver, 42",88
"LL Mountain Frame - Silver, 52","LL Mountain Frame - Black, 48",98
"Mountain-400-W Silver, 38","Mountain-500 Silver, 52",61
"Mountain-300 Black, 38",LL Fork,72
"Road-650 Black, 62",Minipump,66
"ML Road Frame-W - Yellow, 48","Half-Finger Gloves, L",97
"Long-Sleeve Logo Jersey, L",HL Road Handlebars,120
LL Mountain Handlebars,"Half-Finger Gloves, S",105
"Mountain-200 Silver, 42",LL Fork,68
"LL Road Frame - Red, 44","ML Road Frame-W - Yellow, 44",187
"ML Road Frame-W - Yellow, 38","ML Road Frame-W - Yellow, 40",53
"Road-650 Black, 44",ML Road Front Wheel,136
ML Mountain Rear Wheel,"Half-Finger Gloves, L",26
"Long-Sleeve Logo Jersey, M","Men's Sports Shorts, L",111
"HL Mountain Frame - Black, 38",HL Mountain Handlebars,39
"LL Road Frame - Black, 58","Road-650 Black, 52",206
"LL Road Frame - Red, 48","Road-450 Red, 52",84
AWC Logo Cap,"Road-650 Black, 44",232
"Sport-100 Helmet, Black","Mountain-100 Silver, 48",62
"LL Road Frame - Red, 52","Road-150 Red, 56",4
"Road-650 Red, 44","Road-650 Black, 62",186
"Long-Sleeve Logo Jersey, L",Mountain Tire Tube,43
"Classic Vest, M","LL Touring Frame - Blue, 44",3
Mountain Tire Tube,HL Mountain Tire,957
"Half-Finger Gloves, M",Mountain Bottle Cage,43
"Classic Vest, M",Road Bottle Cage,12
Fender Set - Mountain,"Mountain-500 Black, 42",16
"Classic Vest, L",HL Touring Seat/Saddle,1
"LL Touring Frame - Yellow, 62","LL Touring Frame - Yellow, 50",85
"LL Touring Frame - Yellow, 62",HL Touring Seat/Saddle,104
"Half-Finger Gloves, M","Touring-3000 Yellow, 44",75
Water Bottle - 30 oz.,"HL Touring Frame - Blue, 54",60
"LL Touring Frame - Yellow, 62","HL Touring Frame - Yellow, 54",96
"HL Mountain Frame - Black, 42",Rear Derailleur,68
"Half-Finger Gloves, L",Rear Brakes,23
"Long-Sleeve Logo Jersey, XL","Mountain-500 Silver, 52",47
LL Road Handlebars,Hydration Pack - 70 oz.,18
"Road-550-W Yellow, 40","Road-750 Black, 58",173
HL Crankset,LL Bottom Bracket,125
"Sport-100 Helmet, Red","HL Touring Frame - Blue, 46",16
"HL Mountain Frame - Silver, 42","Women's Mountain Shorts, S",53
"Short-Sleeve Classic Jersey, S",LL Mountain Seat/Saddle,61
"Sport-100 Helmet, Black","Road-350-W Yellow, 40",155
ML Road Pedal,"Road-750 Black, 48",204
ML Mountain Handlebars,HL Crankset,99
"HL Mountain Frame - Black, 38","Short-Sleeve Classic Jersey, L",39
"LL Road Frame - Red, 60","Half-Finger Gloves, L",51
"Road-650 Red, 60","Half-Finger Gloves, S",83
"HL Mountain Frame - Black, 38","Mountain-200 Black, 38",186
"LL Road Frame - Red, 48","Road-250 Black, 58",54
"Mountain-400-W Silver, 40","Mountain-500 Black, 42",111
"Women's Mountain Shorts, L","ML Mountain Frame-W - Silver, 46",57
"HL Road Frame - Red, 48","Road-250 Red, 52",16
"Long-Sleeve Logo Jersey, M","ML Road Frame-W - Yellow, 44",236
"ML Mountain Frame - Black, 40","Women's Tights, M",15
"ML Mountain Frame - Black, 48","Men's Sports Shorts, L",36
"ML Mountain Frame - Black, 48","Half-Finger Gloves, S",50
"Road-650 Black, 60","Men's Sports Shorts, S",71
"Sport-100 Helmet, Black","Road-150 Red, 52",30
"Long-Sleeve Logo Jersey, M",ML Mountain Front Wheel,59
"Sport-100 Helmet, Black",LL Mountain Handlebars,121
"Sport-100 Helmet, Blue","Men's Sports Shorts, M",262
"Mountain-200 Black, 38","Women's Tights, S",149
"LL Road Frame - Black, 58","ML Road Frame-W - Yellow, 38",239
"Road-650 Red, 44","Road-650 Black, 52",518
"HL Mountain Frame - Black, 48","Mountain-100 Silver, 48",56
"HL Mountain Frame - Black, 44","Mountain-100 Silver, 42",7
"HL Road Frame - Red, 44","Road-450 Red, 44",11
"Mountain Bike Socks, L","Long-Sleeve Logo Jersey, XL",6
"HL Road Frame - Red, 62","Road-650 Red, 58",30
"LL Touring Frame - Blue, 62","Touring-3000 Blue, 62",1
AWC Logo Cap,HL Mountain Tire,45
"Classic Vest, L",All-Purpose Bike Stand,1
"Short-Sleeve Classic Jersey, XL",HL Road Tire,2
"Road-550-W Yellow, 38",LL Road Pedal,176
"Road-350-W Yellow, 44","Road-750 Black, 52",103
"Sport-100 Helmet, Blue","Touring-1000 Blue, 54",69
"LL Touring Frame - Blue, 44","Touring-1000 Yellow, 60",8
"LL Mountain Frame - Silver, 42","LL Mountain Frame - Black, 52",3
"HL Touring Frame - Yellow, 46","LL Touring Frame - Blue, 62",4
"Women's Mountain Shorts, M","Mountain-500 Black, 40",78
"HL Mountain Frame - Silver, 38",HL Crankset,91
"HL Road Frame - Red, 62",ML Road Pedal,68
"Sport-100 Helmet, Black",HL Road Seat/Saddle,23
HL Road Handlebars,"Short-Sleeve Classic Jersey, XL",55
"Road-550-W Yellow, 38",Patch Kit/8 Patches,57
"Short-Sleeve Classic Jersey, S","Mountain-500 Black, 42",52
Bike Wash - Dissolver,"ML Mountain Frame-W - Silver, 40",103
Water Bottle - 30 oz.,"Mountain-500 Black, 44",78
"HL Touring Frame - Yellow, 54","Touring-2000 Blue, 46",110
"Touring-1000 Yellow, 46","Touring-3000 Blue, 44",83
"Half-Finger Gloves, M","Road-750 Black, 48",121
ML Road Front Wheel,Minipump,103
LL Road Rear Wheel,Minipump,127
"LL Road Frame - Red, 62","Men's Sports Shorts, M",113
"Road-250 Red, 52","Women's Tights, L",108
"LL Road Frame - Black, 60","Half-Finger Gloves, S",27
HL Fork,LL Mountain Handlebars,99
"Road-650 Black, 52","HL Road Frame - Black, 48",13
HL Headset,"Full-Finger Gloves, M",95
LL Fork,ML Mountain Rear Wheel,66
"Women's Tights, M","Half-Finger Gloves, S",106
"Men's Sports Shorts, S","Men's Bib-Shorts, M",145
"ML Mountain Frame - Black, 38",LL Mountain Front Wheel,159
"Sport-100 Helmet, Blue",LL Mountain Handlebars,128
"Sport-100 Helmet, Black","Men's Sports Shorts, M",261
ML Mountain Front Wheel,Minipump,52
"Road-650 Red, 52","HL Road Frame - Black, 44",66
"Road-650 Red, 60","Road-250 Black, 52",143
"LL Road Frame - Red, 48","ML Road Frame-W - Yellow, 40",35
"Long-Sleeve Logo Jersey, L","HL Mountain Frame - Silver, 46",130
"LL Road Frame - Red, 52","LL Road Frame - Red, 62",27
HL Mountain Rear Wheel,Minipump,103
Cable Lock,"Half-Finger Gloves, L",77
HL Fork,LL Mountain Front Wheel,106
ML Mountain Front Wheel,Cable Lock,51
"LL Touring Frame - Blue, 50","Touring-1000 Blue, 54",30
"HL Touring Frame - Yellow, 50","Touring-1000 Blue, 54",9
LL Touring Handlebars,"Touring-1000 Blue, 54",9
"HL Road Frame - Red, 62",LL Road Seat/Saddle,3
LL Mountain Tire,"Mountain-500 Silver, 40",10
"HL Touring Frame - Yellow, 60","LL Touring Frame - Yellow, 44",90
Hydration Pack - 70 oz.,"HL Touring Frame - Yellow, 60",50
"Short-Sleeve Classic Jersey, S","Touring-2000 Blue, 54",73
"HL Touring Frame - Blue, 46","Touring-3000 Blue, 54",38
"Half-Finger Gloves, S",ML Touring Seat/Saddle,11
"HL Touring Frame - Yellow, 54","LL Touring Frame - Yellow, 44",85
"Women's Mountain Shorts, L",Front Derailleur,93
"Half-Finger Gloves, L","Short-Sleeve Classic Jersey, S",117
"ML Road Frame-W - Yellow, 40",Hydration Pack - 70 oz.,14
"Road-250 Black, 58",Hydration Pack - 70 oz.,41
"Touring-1000 Yellow, 54","Touring-3000 Yellow, 54",86
HL Crankset,"Touring-3000 Yellow, 50",83
HL Touring Seat/Saddle,Front Derailleur,64
LL Mountain Handlebars,HL Mountain Seat/Saddle,122
"Mountain-200 Black, 46","Mountain-500 Silver, 42",136
HL Mountain Seat/Saddle,"LL Mountain Frame - Silver, 42",160
"LL Mountain Frame - Silver, 42",HL Mountain Pedal,177
"Mountain-200 Black, 42","Women's Mountain Shorts, L",193
"Road-550-W Yellow, 48","Men's Sports Shorts, S",70
ML Road Rear Wheel,"Men's Sports Shorts, M",10
"Women's Mountain Shorts, S","Mountain-500 Silver, 44",119
"Long-Sleeve Logo Jersey, M","LL Mountain Frame - Black, 44",76
ML Mountain Handlebars,"Women's Mountain Shorts, S",211
"HL Touring Frame - Yellow, 54","Touring-3000 Yellow, 62",121
HL Headset,"ML Mountain Frame - Black, 44",93
"Women's Tights, S","Half-Finger Gloves, S",133
HL Fork,HL Mountain Rear Wheel,100
ML Mountain Handlebars,HL Mountain Front Wheel,69
"LL Road Frame - Red, 52","Men's Sports Shorts, L",17
"ML Road Frame-W - Yellow, 40",Cable Lock,29
"Mountain-100 Silver, 42","Mountain-100 Black, 42",125
"LL Road Frame - Red, 62","Road-450 Red, 58",81
"HL Mountain Frame - Silver, 38","Mountain-100 Black, 48",80
"HL Mountain Frame - Black, 44","Mountain-100 Black, 48",5
"Sport-100 Helmet, Black","Mountain-300 Black, 40",110
"Mountain-200 Silver, 38","Women's Tights, L",144
"LL Touring Frame - Blue, 44","Touring-1000 Yellow, 50",7
"Short-Sleeve Classic Jersey, S",LL Road Seat/Saddle,2
LL Road Tire,"Road-750 Black, 58",63
HL Touring Seat/Saddle,ML Crankset,1
LL Road Handlebars,"Road-350-W Yellow, 44",26
"Road-250 Black, 44","Road-750 Black, 44",93
"Touring-3000 Yellow, 44","Touring-3000 Yellow, 54",135
LL Touring Seat/Saddle,Touring Pedal,33
ML Touring Seat/Saddle,Touring Pedal,25
"LL Touring Frame - Yellow, 62",Front Brakes,26
"HL Mountain Frame - Silver, 38",Patch Kit/8 Patches,29
ML Mountain Pedal,Front Brakes,54
"Short-Sleeve Classic Jersey, XL",Rear Derailleur,57
"HL Road Frame - Black, 48",Hitch Rack - 4-Bike,13
"HL Road Frame - Red, 44",Hydration Pack - 70 oz.,39
"Half-Finger Gloves, S",ML Road Pedal,76
LL Touring Seat/Saddle,"Touring-1000 Blue, 50",30
"Long-Sleeve Logo Jersey, XL","Touring-3000 Blue, 44",12
"Touring-1000 Blue, 46",HL Bottom Bracket,86
ML Road Pedal,"Road-350-W Yellow, 40",206
"LL Mountain Frame - Black, 42","Mountain-500 Silver, 52",115
"Sport-100 Helmet, Black",HL Crankset,77
"HL Mountain Frame - Silver, 46","Mountain-200 Black, 42",184
"Short-Sleeve Classic Jersey, XL","Mountain-400-W Silver, 46",51
"Classic Vest, S","Mountain-500 Black, 52",49
"Mountain-200 Black, 38","Short-Sleeve Classic Jersey, L",113
Water Bottle - 30 oz.,Front Derailleur,98
Hydration Pack - 70 oz.,Front Derailleur,73
"Road-650 Red, 58",HL Road Handlebars,60
"Road-250 Black, 44",HL Road Rear Wheel,28
"Sport-100 Helmet, Red",HL Road Rear Wheel,20
HL Road Handlebars,"Half-Finger Gloves, S",88
"LL Road Frame - Black, 52","Road-550-W Yellow, 44",135
"Road-550-W Yellow, 44",Cable Lock,47
"LL Road Frame - Red, 60","Road-650 Red, 44",313
AWC Logo Cap,"LL Road Frame - Red, 62",169
"LL Road Frame - Red, 60","Road-650 Black, 62",149
"Long-Sleeve Logo Jersey, M",LL Mountain Handlebars,128
"Mountain-200 Black, 38","Men's Bib-Shorts, M",127
"Mountain-300 Black, 48","Full-Finger Gloves, S",84
"Half-Finger Gloves, L",Road Bottle Cage,31
"Mountain-200 Black, 38","Classic Vest, L",5
"Long-Sleeve Logo Jersey, M",Mountain Bottle Cage,23
"Racing Socks, M","Touring-3000 Yellow, 58",1
"Long-Sleeve Logo Jersey, S","Touring-1000 Blue, 50",1
"ML Mountain Frame-W - Silver, 46",HL Bottom Bracket,20
"LL Touring Frame - Blue, 54","Touring-3000 Yellow, 58",15
Road Bottle Cage,"Road-750 Black, 44",139
"Classic Vest, S",Road Bottle Cage,17
Touring Tire Tube,"Touring-2000 Blue, 54",5
"Long-Sleeve Logo Jersey, M",Fender Set - Mountain,62
Chain,"Touring-3000 Yellow, 50",90
"Long-Sleeve Logo Jersey, M","Touring-3000 Yellow, 44",71
"Long-Sleeve Logo Jersey, XL",ML Touring Seat/Saddle,11
"HL Touring Frame - Blue, 46",LL Touring Handlebars,16
"LL Touring Frame - Yellow, 62","Touring-2000 Blue, 60",101
"LL Mountain Frame - Black, 52",ML Crankset,3
"Classic Vest, M",Rear Brakes,43
"Sport-100 Helmet, Red",HL Road Pedal,103
Bike Wash - Dissolver,"Road-350-W Yellow, 48",155
Hitch Rack - 4-Bike,"Road-350-W Yellow, 42",105
"LL Road Frame - Black, 60",ML Road Pedal,19
HL Touring Handlebars,"Touring-3000 Blue, 58",72
HL Mountain Seat/Saddle,ML Mountain Pedal,125
"Women's Mountain Shorts, M","Mountain-500 Black, 52",76
"Mountain-200 Silver, 46","Mountain-500 Black, 52",73
Hydration Pack - 70 oz.,HL Crankset,71
Water Bottle - 30 oz.,HL Crankset,79
"Long-Sleeve Logo Jersey, L",Patch Kit/8 Patches,135
"Half-Finger Gloves, M",ML Road Pedal,105
"Women's Mountain Shorts, M",LL Mountain Seat/Saddle,123
"Women's Mountain Shorts, S","Mountain-400-W Silver, 42",89
"LL Mountain Frame - Silver, 42","Mountain-500 Black, 48",128
"LL Mountain Frame - Silver, 52","Mountain-500 Silver, 52",103
HL Mountain Seat/Saddle,LL Mountain Pedal,157
AWC Logo Cap,HL Road Handlebars,121
"Road-250 Red, 44","Road-550-W Yellow, 44",98
"HL Mountain Frame - Silver, 46",HL Fork,97
"Sport-100 Helmet, Red","Mountain-500 Black, 42",60
AWC Logo Cap,"Classic Vest, M",328
Front Derailleur,"Touring-2000 Blue, 54",113
HL Mountain Handlebars,Minipump,59
"LL Road Frame - Red, 44","ML Road Frame-W - Yellow, 40",35
"Sport-100 Helmet, Red","ML Mountain Frame - Black, 40",17
"Mountain-300 Black, 40","Half-Finger Gloves, S",53
ML Headset,"Men's Sports Shorts, M",52
"Road-250 Black, 52","Men's Bib-Shorts, L",53
"HL Mountain Frame - Silver, 46","Mountain-100 Black, 44",52
"LL Road Frame - Red, 48","Road-650 Red, 52",211
"LL Road Frame - Red, 48","Road-450 Red, 58",85
"ML Road Frame - Red, 52","Road-650 Black, 58",31
"Sport-100 Helmet, Red","Road-150 Red, 52",28
ML Mountain Handlebars,"Full-Finger Gloves, L",221
AWC Logo Cap,All-Purpose Bike Stand,9
Hydration Pack - 70 oz.,"Short-Sleeve Classic Jersey, M",1
"Half-Finger Gloves, L","LL Mountain Frame - Black, 40",2
"HL Road Frame - Red, 48","Classic Vest, M",12
"Mountain-200 Black, 38",HL Mountain Tire,76
"ML Mountain Frame-W - Silver, 38",HL Crankset,2
"Classic Vest, L","LL Touring Frame - Yellow, 58",4
"LL Touring Frame - Blue, 50","LL Touring Frame - Blue, 62",4
AWC Logo Cap,"LL Touring Frame - Yellow, 62",50
"HL Touring Frame - Yellow, 50",ML Touring Seat/Saddle,27
Water Bottle - 30 oz.,"Touring-3000 Yellow, 50",98
Hydration Pack - 70 oz.,"Touring-3000 Yellow, 50",70
"Classic Vest, M","HL Touring Frame - Blue, 60",54
Hitch Rack - 4-Bike,"ML Mountain Frame-W - Silver, 38",1
"Touring-3000 Yellow, 50","Touring-1000 Blue, 54",85
"Touring-1000 Yellow, 50","Touring-1000 Blue, 54",91
"Touring-1000 Yellow, 50","Touring-3000 Yellow, 50",149
"Touring-3000 Blue, 58","Touring-3000 Blue, 62",70
"Sport-100 Helmet, Red","LL Touring Frame - Yellow, 50",38
"Classic Vest, S","LL Touring Frame - Yellow, 44",45
"Half-Finger Gloves, L","Mountain-500 Black, 44",11
"HL Mountain Frame - Silver, 38",ML Crankset,16
"Mountain-200 Silver, 46","Short-Sleeve Classic Jersey, XL",98
"Road-250 Red, 58",Hydration Pack - 70 oz.,42
"ML Road Frame-W - Yellow, 38","Road-750 Black, 44",42
"Touring-3000 Blue, 54",LL Bottom Bracket,60
"Sport-100 Helmet, Red","Women's Mountain Shorts, S",95
"Long-Sleeve Logo Jersey, XL",LL Mountain Seat/Saddle,37
"Short-Sleeve Classic Jersey, L",Front Brakes,99
LL Crankset,"Touring-3000 Yellow, 44",57
"Short-Sleeve Classic Jersey, S","Road-750 Black, 48",113
"LL Mountain Frame - Silver, 42",LL Mountain Pedal,134
"HL Mountain Frame - Silver, 46",ML Mountain Front Wheel,27
"Short-Sleeve Classic Jersey, S","Mountain-500 Silver, 40",58
"Half-Finger Gloves, M","Mountain-500 Silver, 40",56
"Sport-100 Helmet, Blue","Short-Sleeve Classic Jersey, S",286
"Long-Sleeve Logo Jersey, XL","Mountain-500 Black, 52",11
"Sport-100 Helmet, Blue",ML Mountain Pedal,64
"HL Mountain Frame - Black, 42",HL Headset,90
AWC Logo Cap,LL Headset,22
"Long-Sleeve Logo Jersey, XL","Mountain-300 Black, 38",91
LL Road Handlebars,"Women's Tights, S",22
"LL Road Frame - Red, 62","Men's Sports Shorts, L",73
HL Road Handlebars,"Men's Sports Shorts, M",69
LL Road Rear Wheel,ML Road Rear Wheel,16
"HL Road Frame - Red, 48","Road-650 Black, 52",15
"LL Road Frame - Black, 44","Road-250 Red, 44",38
"Road-650 Red, 60","Road-250 Red, 52",148
"HL Road Frame - Red, 48","Road-650 Red, 58",12
"Road-650 Black, 52",LL Road Handlebars,34
"HL Mountain Frame - Silver, 46","Mountain-100 Black, 42",46
"Sport-100 Helmet, Black","Road-650 Red, 62",243
"Sport-100 Helmet, Black","HL Mountain Frame - Black, 44",5
"HL Road Frame - Red, 44","Road-650 Black, 62",37
"HL Road Frame - Red, 62","ML Road Frame - Red, 48",10
"Men's Bib-Shorts, M","Half-Finger Gloves, M",234
"Sport-100 Helmet, Black","Touring-1000 Blue, 46",103
"Road-250 Red, 58",HL Road Tire,47
"Mountain-200 Black, 38",Fender Set - Mountain,123
"Half-Finger Gloves, L",HL Road Tire,16
"Short-Sleeve Classic Jersey, M","Touring-1000 Yellow, 60",2
LL Mountain Handlebars,"ML Mountain Frame-W - Silver, 38",3
"Mountain-200 Silver, 46","LL Mountain Frame - Black, 40",3
"ML Mountain Frame-W - Silver, 38",LL Bottom Bracket,3
"HL Mountain Frame - Silver, 46","Short-Sleeve Classic Jersey, L",37
"ML Road Frame-W - Yellow, 40","Short-Sleeve Classic Jersey, XL",14
"Short-Sleeve Classic Jersey, L","Touring-2000 Blue, 60",102
"Road-550-W Yellow, 38","Road-750 Black, 52",193
"Short-Sleeve Classic Jersey, L","Mountain-400-W Silver, 42",46
"Touring-1000 Yellow, 50","Touring-3000 Blue, 58",141
"HL Touring Frame - Blue, 60","Touring-3000 Blue, 50",101
"LL Touring Frame - Blue, 50","Touring-3000 Yellow, 44",87
"Half-Finger Gloves, M","Touring-3000 Blue, 54",63
"Mountain-200 Silver, 42","LL Mountain Frame - Silver, 42",169
"Mountain-200 Black, 46",HL Mountain Pedal,171
"Mountain-200 Silver, 46","Mountain-400-W Silver, 46",77
"Half-Finger Gloves, S","LL Mountain Frame - Silver, 48",7
Patch Kit/8 Patches,Rear Derailleur,35
"Road-250 Black, 44",HL Road Pedal,160
"ML Mountain Frame-W - Silver, 40","Mountain-400-W Silver, 40",132
ML Mountain Handlebars,"LL Mountain Frame - Silver, 40",133
"Mountain-200 Black, 38","Mountain-400-W Silver, 38",82
"Sport-100 Helmet, Black",LL Mountain Seat/Saddle,62
Front Derailleur,"Touring-1000 Blue, 46",112
Hitch Rack - 4-Bike,"Road-750 Black, 48",148
ML Road Rear Wheel,"Women's Tights, M",6
"LL Road Frame - Black, 58","Men's Bib-Shorts, L",86
"Road-250 Black, 58","Road-550-W Yellow, 38",188
"Mountain-200 Black, 38","Half-Finger Gloves, S",125
"Road-250 Black, 58","ML Road Frame-W - Yellow, 38",104
"Road-250 Black, 58",LL Road Handlebars,32
LL Fork,ML Mountain Handlebars,69
"LL Road Frame - Red, 62","Women's Tights, S",112
"Road-250 Black, 52","Men's Sports Shorts, S",36
"Road-550-W Yellow, 40",Minipump,122
"Road-650 Black, 52","Half-Finger Gloves, L",56
"LL Road Frame - Red, 52","Half-Finger Gloves, S",17
"Road-250 Red, 44","Road-250 Black, 44",189
"Road-250 Red, 44","Road-250 Black, 52",140
"Road-650 Red, 60","Road-550-W Yellow, 40",185
"Road-550-W Yellow, 42",HL Road Front Wheel,122
Minipump,"Half-Finger Gloves, L",77
"Mountain-300 Black, 38","Men's Sports Shorts, L",41
"LL Road Frame - Red, 52","Road-650 Red, 48",29
"Road-150 Red, 44","Road-450 Red, 60",59
ML Mountain Front Wheel,"Full-Finger Gloves, M",99
"Road-250 Black, 44","ML Road Frame-W - Yellow, 48",266
"Road-650 Red, 44","Road-250 Red, 44",186
"LL Road Frame - Red, 62","Road-250 Black, 52",102
"Short-Sleeve Classic Jersey, M","Touring-3000 Yellow, 58",1
"Road-550-W Yellow, 42","Road-750 Black, 44",91
"HL Touring Frame - Yellow, 60","Touring-2000 Blue, 60",108
"Sport-100 Helmet, Red","Touring-3000 Yellow, 44",78
"Classic Vest, S","LL Touring Frame - Yellow, 62",47
Water Bottle - 30 oz.,LL Bottom Bracket,60
"Classic Vest, L","LL Touring Frame - Blue, 58",1
ML Crankset,"Mountain-500 Silver, 48",20
Front Brakes,"Mountain-500 Silver, 42",63
"LL Mountain Frame - Silver, 52",Front Brakes,93
Water Bottle - 30 oz.,"LL Mountain Frame - Silver, 42",91
"LL Mountain Frame - Black, 44",LL Crankset,92
"Road-250 Black, 52","Road-750 Black, 48",133
"Classic Vest, S","Road-750 Black, 52",156
"Mountain-200 Black, 46",LL Mountain Seat/Saddle,117
LL Mountain Seat/Saddle,HL Crankset,60
"Classic Vest, M",ML Mountain Seat/Saddle,52
Water Bottle - 30 oz.,ML Mountain Seat/Saddle,52
Rear Derailleur,ML Crankset,20
"Classic Vest, M",Bike Wash - Dissolver,330
"Women's Mountain Shorts, S","LL Mountain Frame - Black, 48",138
Hydration Pack - 70 oz.,Front Brakes,77
Rear Derailleur,"Touring-1000 Yellow, 54",51
"Long-Sleeve Logo Jersey, XL","Touring-2000 Blue, 54",49
"LL Road Frame - Black, 52",Hydration Pack - 70 oz.,104
"HL Road Frame - Red, 62","HL Road Frame - Black, 44",160
"Road-250 Black, 52","Women's Tights, L",105
"Road-650 Black, 48","Men's Bib-Shorts, S",37
"Sport-100 Helmet, Black",HL Road Handlebars,121
"Road-650 Red, 58","Men's Bib-Shorts, S",38
"ML Mountain Frame-W - Silver, 46","LL Mountain Frame - Black, 44",60
"Road-650 Black, 44","HL Road Frame - Black, 48",13
HL Fork,"Women's Tights, M",39
HL Mountain Rear Wheel,"Men's Sports Shorts, L",37
HL Fork,ML Headset,98
LL Fork,Cable Lock,41
"Mountain-200 Silver, 46",Cable Lock,95
"HL Mountain Frame - Silver, 48","Mountain-100 Black, 38",70
"Long-Sleeve Logo Jersey, M","Road-450 Red, 52",75
ML Mountain Handlebars,HL Mountain Handlebars,176
"HL Mountain Frame - Silver, 42","Men's Bib-Shorts, M",36
"Long-Sleeve Logo Jersey, L","Men's Bib-Shorts, L",160
"Road-650 Red, 48","Men's Bib-Shorts, M",151
Patch Kit/8 Patches,HL Road Tire,229
Touring Tire,"Touring-2000 Blue, 54",6
"LL Mountain Frame - Black, 40",Chain,3
Mountain Bottle Cage,"Short-Sleeve Classic Jersey, S",39
ML Crankset,"Touring-1000 Yellow, 46",1
"Half-Finger Gloves, S","Touring-1000 Blue, 50",56
"LL Touring Frame - Yellow, 44",LL Crankset,16
"Mountain-200 Black, 46","LL Mountain Frame - Black, 52",4
Bike Wash - Dissolver,"LL Touring Frame - Yellow, 58",5
"Long-Sleeve Logo Jersey, XL","LL Touring Frame - Yellow, 58",5
"Mountain-200 Black, 42","Classic Vest, L",5
Chain,"Touring-3000 Blue, 62",70
Hitch Rack - 4-Bike,"HL Touring Frame - Blue, 46",16
"HL Touring Frame - Yellow, 46","LL Touring Frame - Yellow, 50",28
"Short-Sleeve Classic Jersey, L","Touring-2000 Blue, 46",77
"HL Touring Frame - Blue, 60","LL Touring Frame - Yellow, 44",96
LL Touring Handlebars,"Touring-1000 Yellow, 50",18
"LL Mountain Frame - Silver, 44",Chain,63
ML Crankset,"Mountain-500 Silver, 42",18
"Mountain-500 Silver, 42",HL Bottom Bracket,58
"Half-Finger Gloves, L","Classic Vest, M",110
"LL Road Frame - Black, 58","Road-350-W Yellow, 48",100
Touring Pedal,"Touring-3000 Blue, 54",47
"Women's Mountain Shorts, L","LL Mountain Frame - Silver, 44",134
"Classic Vest, M","LL Mountain Frame - Silver, 52",55
Bike Wash - Dissolver,"Mountain-500 Silver, 42",78
"HL Mountain Frame - Silver, 38","Mountain-500 Black, 40",62
LL Mountain Handlebars,"Women's Mountain Shorts, M",112
"Mountain-200 Silver, 42",HL Mountain Seat/Saddle,153
"ML Mountain Frame - Black, 38","Full-Finger Gloves, M",185
"HL Road Frame - Red, 62",ML Road Front Wheel,75
HL Road Front Wheel,"Half-Finger Gloves, M",101
"ML Road Frame-W - Yellow, 48","Men's Bib-Shorts, M",111
ML Mountain Handlebars,"Mountain-500 Silver, 44",112
AWC Logo Cap,HL Mountain Pedal,102
"Road-650 Red, 48","Road-250 Red, 48",184
"Road-250 Red, 52",ML Road Rear Wheel,19
HL Road Front Wheel,"ML Road Frame-W - Yellow, 38",132
"Men's Bib-Shorts, S","Half-Finger Gloves, L",77
"Mountain-300 Black, 38",ML Mountain Rear Wheel,187
"Mountain-200 Silver, 38",ML Headset,98
"HL Mountain Frame - Silver, 38","Mountain-100 Silver, 42",72
"Road-450 Red, 48","Road-650 Black, 48",61
"HL Mountain Frame - Silver, 42","Mountain-200 Black, 38",108
"Long-Sleeve Logo Jersey, XL",ML Mountain Handlebars,148
"HL Road Frame - Red, 48","Road-550-W Yellow, 40",34
"LL Road Frame - Black, 60","Road-250 Black, 48",40
"Road-550-W Yellow, 44","Short-Sleeve Classic Jersey, XL",57
"HL Mountain Frame - Black, 42",HL Crankset,89
AWC Logo Cap,"Long-Sleeve Logo Jersey, S",69
"Sport-100 Helmet, Blue",ML Mountain Tire,114
"Half-Finger Gloves, S",Fender Set - Mountain,56
AWC Logo Cap,"LL Touring Frame - Blue, 62",1
"LL Road Frame - Black, 60","Road-750 Black, 48",20
"Half-Finger Gloves, L","LL Touring Frame - Yellow, 44",26
Bike Wash - Dissolver,"Touring-1000 Yellow, 50",75
"Half-Finger Gloves, M","Touring-1000 Blue, 50",62
"Half-Finger Gloves, L","Touring-3000 Blue, 58",28
"Classic Vest, S","LL Mountain Frame - Black, 40",2
"Mountain-200 Black, 42","Short-Sleeve Classic Jersey, L",90
"Mountain-200 Black, 42",Chain,94
Rear Brakes,"LL Mountain Frame - Silver, 40",41
AWC Logo Cap,"LL Mountain Frame - Silver, 42",87
"ML Road Frame-W - Yellow, 48","Road-750 Black, 52",122
Patch Kit/8 Patches,"Road-750 Black, 52",93
"Long-Sleeve Logo Jersey, L","Mountain-400-W Silver, 40",74
"LL Mountain Frame - Black, 44","LL Mountain Frame - Silver, 40",133
"Long-Sleeve Logo Jersey, XL","Mountain-500 Silver, 48",38
